Name,Status,Price,Note,Image,Link
Converse Chuck 70 High Shoes 'Rush Blue' - 168509C Expeditedship,Brand New,"2,165,348.84 VND",Save up to 15% when you buy more,https://i.ebayimg.com/thumbs/images/g/bM8AAOSwBBNjP-EQ/s-l300.jpg,https://www.ebay.com/itm/185609005874?epid=17043978497&hash=item2b3728ab32:g:bM8AAOSwBBNjP-EQ&amdata=enc%3AAQAIAAAA4NelNZf7LZMFO1ehSGuAI%2BuhKjcc%2BbQ%2FGcN0etKS9xp%2BMj7skG3NmbYMxbIrKbcZLLLowO2Z7pBAwL4b66hJifbD6sJkDQCYKqiNdX3hErEybhM%2Bm%2BkgMzjiuyNghvrfiCeTaW3lciVkmACqULT7Ic6TYtes4E2lS2dYH55XlIc9wtVIq0yK58yzFdQJZwVJEjIYwS%2FeqHzGQOI7oGLsI1mJjVTS4t9vlLfwSAuqO8VtQiAdqEq8dBegGDBB%2BjrPQYkFnQpvX%2B2Bjl3qZwafis%2F%2FqMcYikrJxQNRRe5ik4W%2B%7Ctkp%3ABFBM8NnegI1i
"Converse Chuck Taylor All Star CX Shoes ""Midnight Navy"" - 172808C Expeditedship",Brand New,"1,607,209.30 VND",Save up to 10% when you buy more,https://i.ebayimg.com/thumbs/images/g/hLUAAOSw-dRiI39h/s-l300.jpg,https://www.ebay.com/itm/185270454328?epid=4052772493&hash=item2b22fac838:g:hLUAAOSw-dRiI39h&amdata=enc%3AAQAIAAAA4ASmzDDu4Neja74dw18dALLunENjzSA%2FZZ95JM6YuYpg9rNIxaOGzU5oNvCrBJyYkwJ0S1M6rliI%2BGFxV%2BzlAF%2FdWU2MjG05hPmUIunLiG9ZqxV%2BLELz6d7YPUoU0eNqYz2GRDpufbvBV9fb%2BG%2FMbejL8Lf76mQ8S%2FPXZMfBH77MU8E3KAwHGJd1r%2F4PUODbz6q98Hof2hYn7rEKHcmJ6d2tOz%2B6ZHmPApPLh3Caj%2Bjjf2Ava%2BM4%2Buqjq9fRnPaoBVsCwfu9TvfqpO1Oi6QKaDoHWT5CrypixW2v933YGgck%7Ctkp%3ABFBM8NnegI1i
Converse Run Star Legacy CX High Men / Unisex Casual Lifestyle Shoes Pick 1,Brand New,"2,325,348.84 VND to 3,092,790.70 VND",Save up to 20% when you buy more,https://i.ebayimg.com/thumbs/images/g/F0gAAOSwicxkONHc/s-l300.jpg,https://www.ebay.com/itm/363998057820?hash=item54bff9955c:g:F0gAAOSwicxkONHc&amdata=enc%3AAQAIAAAA4Gfcd9C6ct7PL80xc5%2FK%2Bgkw0c3mk0lJWzTxyQmv02ul5B3A4dosnAq%2BbsGuMj7dLy5BK3HgglCB059PIU8kMiiWScdtnUTYc92Sf8X4OnXC%2BeWBkog7Y%2BNDnQ%2BFnJhAXhLzOgAfOwmxG659BZFtd5ZV6oOJii5shczUesUYqKsTP%2B4iEhUfxb4xBat0aBeJUo%2FYmiCyNhWZE%2Fkp%2BTaVPr8bmFgqaMmnZ3VuvUJdnqYCbyFQM8Z5dWQ1%2BBv1IbpdkmWdkP2Y%2Fj4ba0hWzHnw99JYv8vYg6Dgd5FjN0r5Fl9H%7Ctkp%3ABFBM8NnegI1i
Converse Chuck Taylor All Star 70 Hi Men’s Athletic Sneaker Tan Shoe #122,Brand New,"1,394,186.05 VND",Extra 10% off with coupon,https://i.ebayimg.com/thumbs/images/g/gaUAAOSwB8dj4XhB/s-l300.jpg,https://www.ebay.com/itm/304636051030?hash=item46edb93e56:g:gaUAAOSwB8dj4XhB&amdata=enc%3AAQAIAAAA4EFk7L2wEHKPWNd0Drpp4koARjaRymuIjqaw7Mz2urDEUd0moIwO136ELpEwXXIJuRJGI65ClZOxkGcBKS5lLVZRpxi92SpvoEawF%2FV5GN%2BLfZQEjWvup7styrMXo7SVaTvHrCRiDG0bXifudLjPVyJj55RgmUYW8723hR%2F2k8vG8AQOBlMHgpO2ykGQL%2BqWADLDFUiaOotTFfnrCjYOPuPRPrYQvHZdzXgrSNTq%2FEtgjeEsdhS9iIudSPde5luGSdkDBRykeCBQO8F%2BpewhcXZYZbPKlPAwLTD4Otpqj%2F7P%7Ctkp%3ABFBM8NnegI1i
Converse CHUCK TAYLOR All Star Low Top Unisex Canvas Shoes Sneakers NEW,New (Other),"929,069.77 VND to 1,626,744.19 VND",Save up to 5% when you buy more,https://i.ebayimg.com/thumbs/images/g/mCQAAOSwNr1gTCml/s-l300.jpg,https://www.ebay.com/itm/164756736871?hash=item265c444b67:g:mCQAAOSwNr1gTCml&amdata=enc%3AAQAIAAAA4Jx6qIy8YBGxgK8BJYUDO8xFH0w9YNPlHDV9EOxWNzVQmJrvvBu3zPhMrwZU5wiVQSrxWIWpzl2jcizeQJMRgNp7q%2F0P9k89vqohMO26Sp%2Bon0l8boPckgGQD%2FTyw%2FwSxmrooR%2BLcexM6h%2FYdvEHiAIdNNQcliLYSD0EbAyBxklD%2BKBvPXtghuD37he6tm0VYY3dsAcgpZk1r9JjR6ubHtlmAQ9OTWsS%2B0WchEBLeCHSKLZCWQxZ0z0tgsRXFcCeNl3Usk72d7AFZiWIpM7TfGz2Sc%2FOk92w4QZpTnZG6c9u%7Ctkp%3ABk9SR_DZ3oCNYg
Converse Mens Womens Trainers Low High Tops Chuck Taylor All Star Casual Shoes,Brand New,"860,120.16 VND to 1,003,521.35 VND",Save up to 15% when you buy more,https://i.ebayimg.com/thumbs/images/g/wbgAAOSwS4dhabCL/s-l300.jpg,https://www.ebay.com/itm/224648729674?hash=item344e1b944a:g:wbgAAOSwS4dhabCL&amdata=enc%3AAQAIAAAA4MD0aXvmbIkYUgplvNNHAcIHs5Xr4flsm4LyXeAIxm4TEP7e2hpuRRGccWOsaXBjgg1f3SxYxWUYXTlaB1gs0CKcvodCn3Jvn8HZJcZHzXOrlL9%2FFpfpOLPrFKBI3czT9nueuTWp9uKEFbjIZ6iz2w1SR1CsYBVf3y3EDYKwH8W7PnfNTMAblVroV%2B2bIqL1I3E0HiOcNsOTRoljkCSTiC4fDnnR%2BmBVIs1f%2FnAMTn2ARbgVa75phhmCa%2FqwDXecxOAUvZSc90lVHk47tQD6QEMsWyPHbviHxnS%2B%2F4OvBNNR%7Ctkp%3ABk9SR_LZ3oCNYg
CONVERSE ALL STAR CHUCK TAYLOR  BLACK / WHITE HIGH MEN'S M9160,Brand New,"1,278,837.21 VND to 1,395,116.28 VND",Extra 10% off with coupon,https://i.ebayimg.com/thumbs/images/g/yQAAAOSw1Exb53oF/s-l300.jpg,https://www.ebay.com/itm/223225852622?epid=16043977301&hash=item33f94c32ce:g:yQAAAOSw1Exb53oF&amdata=enc%3AAQAIAAAAwInquzX3dIDI9AaPOIfIPO%2FAPpX%2F%2BQxMPv2fKLLG1EYltOyaajMy1VpAFh1WmVHdYQcIxHDgFtJKxznOEVhB7w0wAzZY1hC%2BswbhyI3bYa79xN9XVMNUHMG1Mt7V3b0E2uGh%2Bl7wybT5RW8Vwy%2BFvSZi7PnTU1dud%2BhrdsStIERkINQU%2FgYOnNxpBWq%2FHJ1wsorigAV9Tw%2Bz09AjKLRunm%2BrW7fBlplrclqOJJBnvoVLpIpTjyTMvpxWDas87muHDg%3D%3D%7Ctkp%3ABk9SR_LZ3oCNYg
Converse All Star WOMENS MENS Chuck Taylor OX Canvas Trainers Shoes uk,New (Other),"688,038.77 VND",Save up to 15% when you buy more,https://i.ebayimg.com/thumbs/images/g/3q8AAOSwRsNkEso-/s-l300.jpg,https://www.ebay.com/itm/374715758415?hash=item573eccb74f:g:3q8AAOSwRsNkEso-&amdata=enc%3AAQAIAAAA4HoSDg80OsPndwEtXa7dDeE8Wu41BfZZK3Xvzj05XiEnYJfaZUYxihOdC4v1f9ZVAr971%2F1yeaxFWgiSq5rc2rqcUpUhfWw7OxFIch5na0eCY%2FkbgtqobFVKntn6eRKJV0TvkXL5kW1Jvrxlrr4unvts1LtBFl%2BP1bT0MNhms4pQs9TNYWVm9hlXoMcqBuLaqZAnoFhsJsGxkIHoKlnkHo7AQ7izpcxtHxkGpsqGYEonRVoxEKFuLNlexNGmt0qspuI9lLMx3hdNoYj%2Fa79UZqinhGNwvp0Njqe3cd84PpAg%7Ctkp%3ABk9SR_LZ3oCNYg
Converse Chuck Taylor All Star Low Top Shoes - Black,Brand New,"1,277,906.98 VND to 1,394,186.05 VND",Save up to 10% when you buy more,https://i.ebayimg.com/thumbs/images/g/YVMAAOSwJyxj0bRZ/s-l300.jpg,https://www.ebay.com/itm/155377639640?hash=item242d3aa0d8:g:YVMAAOSwJyxj0bRZ&amdata=enc%3AAQAIAAAAwHtSB58UQMvMBWyMWW%2F3dF5Hl6zyv5ctIo62mpt%2Bm9I%2Bxs3qKXfMrYDNcVH3jRTxB6DUwP97tbfypJk9%2Bfjds9PeA8pZDews11JRe3IuW10F7jbVJ2BIeGwwYthbDqKpJvp1jl9AVgtGhXS4Mf%2Bd9SQBAS6%2FGhAxBQwHQTC7jjLPL%2FF55ivdDewGkvklr5vJuujdr%2FtN9ctYTWfASeTk3azmIYZ%2ByKy3TEqRlTeJrG2M3QaMPka03eqglUTFQJZL0A%3D%3D%7Ctkp%3ABk9SR_LZ3oCNYg
Converse All Star Chuck Taylor Shoes Canvas Hi Top Men Sneakers,Brand New,"1,360,465.12 VND",Save up to 15% when you buy more,https://i.ebayimg.com/thumbs/images/g/Ok8AAOSwAANY7X11/s-l300.jpg,https://www.ebay.com/itm/265674605130?hash=item3ddb70c24a:g:Ok8AAOSwAANY7X11&amdata=enc%3AAQAIAAAAwGBWGxxLrKF%2BLh2lekTfdX%2FZafyfZp9yHGDuJBuoTltzqVqxMFwXHi1m4PjtZjxM1SkNuU6pYAb%2FOmMc5fhODOERKk2wzhNxz5%2FsTzVpNb21iHU1YwJwJkfs1sYLY1HO6%2B0hxBRDTHxd%2FDqzIaYKhyA%2FI6CoiXpk739nw3LGS73zncHxApfVTpkg9YhLW51hh0GYo4i6IVrxG3KiEs6hJNDKYoT6xbIKTkSLdAvS6W841nNghDw8wons0oNi1LNv4w%3D%3D%7Ctkp%3ABk9SR_LZ3oCNYg
